PRECIPITATION TOTALS BY MONTH, MISSING=-99.99
STDV YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANNL
0199 1931   3.22  3.40  3.99  3.39  3.49  1.40  5.95  4.45  1.10  1.74  2.04  9.08  43.25
0199 1932   7.12  5.33  4.52  3.23  4.94  4.97  4.73  5.57  4.65  6.49  3.43  8.84  63.82
0199 1933   3.07  6.17  6.94  6.40  2.46  3.00  7.15  4.16  2.38  2.02  1.24  3.44  48.43
0199 1934   3.63  4.59  6.21  3.62  3.94  5.37  6.84  6.14  1.98  6.62  3.69  3.39  56.02
0199 1935   2.66  4.31  7.74  5.50  4.60  4.03  4.54  4.98  2.13  1.63  3.22  4.31  49.65
0199 1936  12.03  7.34  3.64  6.79  1.99  1.98  6.90  5.87  2.72  2.33  1.80  7.14  60.53
0199 1937   8.12  4.94  4.54  7.29  4.54  3.71  4.85  5.07  4.27  6.09  3.53  2.62  59.57
0199 1938   3.31  1.93  6.11  9.48  3.14  4.24  7.98  3.90  1.33  0.35  3.13  2.70  47.60
0199 1939   4.71 10.00  5.24  3.55  5.43  6.34  4.75 11.12  4.14  0.35  0.83  3.36  59.82
0199 1940   4.34  6.87  5.21  3.69  3.35  6.91  8.82  3.14  1.31  1.43  3.47  6.56  55.10
0199 1941   2.70  2.84  4.56  2.75  0.70  4.44  8.17  5.79  3.01  2.06  2.43  7.75  47.20
0199 1942   3.53  4.84  7.45  1.93  3.32  6.17  4.96  6.87  4.35  1.98  1.72  7.78  54.90
0199 1943   4.52  2.26 10.29  3.62  3.72  3.69  4.69  3.68  4.18  0.86  3.60  3.72  48.83
0199 1944   3.64  7.05 11.02  9.68  2.88  2.70  4.37  6.46  4.96  0.58  3.76  3.67  60.77
0199 1945   4.09  6.98  4.50  8.15  3.40  3.48  6.35  3.42  3.61  3.66  3.45  6.72  57.81
0199 1946   8.45  6.48  7.97  3.00  7.67  5.93  6.88  4.93  6.32  1.45  4.81  2.65  66.54
0199 1947   9.66  1.90  7.61  7.04  5.87  4.78  3.31  3.86  2.68  1.72  7.90  4.93  61.26
0199 1948   4.54  6.04  9.99  3.74  3.15  3.73  7.00  3.98  4.45  1.66 15.19  4.57  68.04
0199 1949   6.50  6.03  6.05  5.87  3.98  6.00  6.70  4.64  3.20  3.12  0.79  3.97  56.85
0199 1950   4.37  4.08  6.61  3.73  3.97  3.44  9.11  5.22  4.08  1.69  1.61  4.02  51.93
0199 1951   3.84  3.00  8.92  5.06  1.52  4.62  4.43  2.44  5.69  1.73  3.68  7.33  52.26
0199 1952   3.85  4.36  6.57  2.99  5.45  2.22  2.29  6.59  3.24  1.29  2.51  5.98  47.34
0199 1953   5.36  7.33  3.58  7.79  4.17  4.05  5.94  2.43  5.03  0.60  2.71 10.80  59.79
