HEATING DEGREE DAY TOTALS BY MONTH FOR SEASON BEGINNING JULY 1 OF YEAR, MISSING=-9999
STDV YEAR    JUL   AUG   SEP   OCT   NOV   DEC   JAN   FEB   MAR   APR   MAY   JUN   ANNL
0199 1930  -9999 -9999 -9999 -9999 -9999 -9999   662   459   505   168    54     1  -9999
0199 1931      0     0     1    75   195   353   437   273   455   111    35     1   1936
0199 1932      0     0    11   165   478   505   458   492   349   151     8     0   2618
0199 1933      0     0     2   113   345   330   521   589   378   108    20     0   2407
0199 1934      0     0     9    92   284   610   569   467   199   105    18     2   2355
0199 1935      0     0     7    84   315   788   684   579   254   159    17     0   2887
0199 1936      0     0     2   105   402   507   327   508   419   135    22     0   2427
0199 1937      0     0    16   163   447   617   592   338   183   116    18     2   2491
0199 1938      0     0     8    95   319   596   525   395   269   153    33     0   2393
0199 1939      0     0     3   100   423   540  1029   594   380   157    55     1   3281
0199 1940      0     0    14   112   364   467   600   639   513    95    12     0   2817
0199 1941      0     0     1    45   386   513   712   620   366   105    25     1   2775
0199 1942      0     0    14   108   287   562   560   452   406   128    14     0   2531
0199 1943      0     0    22   170   438   614   629   349   315   148    18     0   2703
0199 1944      0     0     6   143   362   647   640   415   157    81    49     2   2501
0199 1945      0     0     5   149   303   772   591   449   217    72    33     2   2594
0199 1946      0     0    15   120   209   474   513   685   528    91    38     1   2676
0199 1947      0     0     3    57   410   558   825   427   262    61    24     0   2627
0199 1948      0     0    16   179   301   489   417   371   368   157    18     1   2317
0199 1949      0     0    15    56   403   515   285   356   411   206    13     1   2260
0199 1950      0     1    13    92   504   736   580   448   313   162    36     0   2886
0199 1951      0     0     5   106   499   483   432   410   383   158    26     0   2502
0199 1952      0     0    24   259   398   604   511   457   268   170    16     0   2706
0199 1953      0     0     9   101   402   644   587   384   377    59    78     2   2644
0199 1954      0     0     3   114   438   638   663   464   264    74    12     8   2677
0199 1955      0     0     5   172   415   600   715   356   354   167    16     2   2802
0199 1956      0     0    18   110   431   364   557   291   415    93    20     1   2299
0199 1957      0     0    15   224   329   549   790   770   464   124    28     1   3293
0199 1958      0     0    11   157   304   700   698   460   427   143    15     2   2916
0199 1959      0     0     7    99   423   560   652   598   645   115    57     2   3159
0199 1960      0     0    10   117   373   730   811   396   288   221    62     6   3014
0199 1961      0     0    10   168   308   571   713   318   463   201     7     1   2761
0199 1962      0     0    10   110   428   699   820   671   272    84    27     1   3123
0199 1963      0     0    15    95   379   867   712   642   378    95    25     0   3210
0199 1964      0     0    12   215   290   535   601   545   459    85    13     2   2757
0199 1965      0     0    10   168   280   572   793   529   390   122    43     5   2911
0199 1966      0     1    18   181   335   605   627   596   260    54    45     2   2723
0199 1967      0     2    41   187   458   470   718   711   419   116    46     1   3169
0199 1968      0     0    21   143   433   701   693   551   557   114    31     2   3247
0199 1969      0     1    18   137   455   676   844   586   408    88    25     3   3240
0199 1970      0     0     3   140   475   499   646   556   487   157    73     1   3037
0199 1971      0     0     5    80   398   360   534   521   347   115    44     4   2409
0199 1972      0     0     5   159   447   514   697   584   230   188    68     2   2894
0199 1973      0     0     3    87   261   600   393   504   225   141    22     8   2245
0199 1974      0     1    34   201   387   564   534   425   398   178    20     2   2743
0199 1975      0     1    33   126   346   628   779   368   267   133    94     6   2783
0199 1976      0     1    26   269   590   723  1001   576   288    87    18     1   3581
0199 1977      0     0    10   207   304   646   932   756   459   112    38     1   3467
0199 1978      0     0     6   170   223   582   855   619   327   118    38     4   2942
0199 1979      0     0    19   161   385   612   604   648   420   170    34     2   3054
0199 1980      0     0     6   214   405   633   804   517   426    63    62     1   3130
0199 1981      0     0    26   170   333   690   719   496   265   193    23     2   2918
0199 1982      0     0    19   134   333   429   732   539   431   257    53     5   2933
0199 1983      0     0    19   129   382   744   792   483   390   173    51     1   3164
0199 1984      0     1    15    62   419   358   880   574   268   103    31     1   2710
0199 1985      0     0    17    73   182   742   699   407   338   133    24     1   2617
0199 1986      0     0     5   127   248   615   709   493   336   192    14     1   2740
0199 1987      0     0    21   271   315   486   776   572   370   133    54     2   2999
0199 1988      0     0    16   237   294   584   502   503   289   167    53     3   2647
0199 1989      0     0    18   163   362   851   513   328   279   164    46     1   2725
0199 1990      0     0     6   138   292   473   627   439   306    85    13     1   2381
0199 1991      0     0     9   133   466   503   674   419   359   159    56     6   2783
0199 1992      0     2    13   181   400   588   547   555   451   224    49     2   3012
0199 1993      0     0    16   164   388   637   776   450   337    96    57     1   2923
0199 1994      0     0    21   132   258   498   640   524   278   126    22     3   2502
0199 1995      0     0    16   154   491   655   702   538   475   203    17     1   3253
0199 1996      0     0    21   158   402   520   635   433   219   224    74     7   2693
0199 1997      0     0    10   162   478   650   568   471   403   165    16     0   2922
0199 1998      0     0     3    91   269   458   526   407   424    69    35     2   2285
0199 1999      0     0    14   136   292   574   613   390   276   191    14     1   2503
0199 2000      0     0    11   114   393   821 -9999 -9999 -9999 -9999 -9999 -9999  -9999
0299 1930  -9999 -9999 -9999 -9999 -9999 -9999   550   358   278   110    32     6  -9999
0299 1931      0     1     6    81   389   616   713   381   294   147    48     9   2685
0299 1932      0     1     7    90   250   643   643   545   285   213    93     5   2775
0299 1933      0     0     3    48   249   465   504   290   138    73    15     9   1795
0299 1934      0     1     8    54   278   437   472   343   361   136    81     4   2176
0299 1935      0     0     7    84   371   496   532   401   247    91    23     2   2253
0299 1936      0     0     9    72   277   510   823   419   328   152    29     5   2625
0299 1937      0     0     3    61   256   404   464   381   331   134    45     4   2084
0299 1938      0     0     5    89   410   444   539   608   279    99    30     5   2509
0299 1939      0     1     8    98   221   377   456   389   227   117    22     2   1917
0299 1940      0     0     7    73   342   389   485   324   329   253    45    11   2260
0299 1941      0     2    13   123   265   492   492   484   360   166    52     6   2455
0299 1942      0     1     7    79   217   433   496   299   233    88    26     6   1884
0299 1943      0     0     5    69   255   487   569   463   365   203    49    12   2477
0299 1944      0     0     5    53   358   490   542   379   393   179    40     9   2450
0299 1945      0     1     5    56   310   567   580   438   269    63    40     3   2332
0299 1946      0     1     6   148   394   424   607   293   249   139    20     6   2287
0299 1947      0     1     2    74   408   590   502   448   403   112    32     5   2576
0299 1948      0     0     4    67   391   521   762   477   308   100    39     6   2675
0299 1949      0     1     4   105   163   518   554   295   246    80    48     6   2019
0299 1950      0     1    10    26   197   342   532   392   310   153    40     9   2012
0299 1951      0     1     5    73   318   539   548   438   461   155    26     5   2569
0299 1952      0     0     4    40   382   564   435   434   273   158    98     6   2394
0299 1953      0     1     4    72   243   588   492   247   323    81    25     5   2081
0299 1954      0     1     4    50   214   481   648   521   300   178    55     8   2459
0299 1955      0     0     5    47   297   410   405   516   265   162    32     2   2142
0299 1956      0     1     2    83   343   500   466   229   264   156    73     4   2121
0299 1957      0     1     6   105   406   438   522   330   410   174    17     2   2411
0299 1958      0     0     6    61   295   381   452   427   266    78    44     2   2013
0299 1959      0     1     7    69   275   478   650   513   214   115    42     2   2365
0299 1960      0     0     4    97   265   547   448   349   290   118    42     2   2162
0299 1961      0     0    12    92   366   536   563   361   423    76    51     7   2488
0299 1962      0     0     5    63   203   421   611   269   305   184    22     7   2090
0299 1963      0     1     3    44   268   506   644   533   399   182    47     7   2633
0299 1964      0     1     8    49   390   503   469   431   382   174    66    17   2490
0299 1965      0     1    13    51   217   496   623   528   268   118    24     4   2342
0299 1966      0     0     6    84   236   504   540   349   226   226    54     9   2235
0299 1967      0     0     7    56   206   640   534   280   297   180    46     4   2251
0299 1968      0     2     7    71   312   614   427   441   407   133    29     6   2449
0299 1969      0     0     5   120   282   456   546   304   348   231    34     4   2331
0299 1970      0     0    14   133   268   518   530   398   258   167    72     7   2365
0299 1971      0     0    10   149   326   610   548   329   135   121    42     6   2275
0299 1972      0     1     8   100   413   580   614   399   455   210    36     5   2820
0299 1973      0     0     9    69   307   477   532   426   246   144    34     1   2246
0299 1974      0     1     7    72   310   622   553   446   359   271    68     7   2717
0299 1975      0     1     8    89   302   490   495   305   323   176    36     5   2230
0299 1976      0     1    12   112   279   515   546   328   386   122    71     4   2375
0299 1977      0     0     4    50   231   366   472   385   227   159    52     4   1950
0299 1978      0     0     7    45   304   605   644   423   345   147    50     6   2577
0299 1979      0     1     3    63   365   432   439   310   346   150    71     5   2185
0299 1980      0     0     6    79   259   323   385   306   306    84    39     2   1788
0299 1981      0     0     6    94   213   397   521   333   301   130    42     7   2044
0299 1982      0     0     6   103   309   537   473   377   319   232    46     7   2408
0299 1983      0     0     3    75   295   448   476   374   237   161    15     5   2089
0299 1984      0     0     6   133   303   512   541   420   297    90    28     2   2333
0299 1985      0     0    16    78   333   480   329   303   185    95    29     2   1850
0299 1986      0     0    15    95   262   477   540   374   333    81    40     3   2222
0299 1987      0     1     8    39   311   582   532   303   255   126    37     3   2198
0299 1988      0     1     9    33   276   513   539   317   165    47    20     3   1923
0299 1989      0     0     5    68   233   487   513   426   224    84    38     2   2080
0299 1990      0     0     4    59   243   575   509   247   391   156    45     9   2239
0299 1991      0     0     6    46   287   413   516   307   274    80    26     5   1961
0299 1992      0     0     5    54   369   542   422   373   240   109    24     5   2145
0299 1993      0     0     8    69   290   448   463   396   217   103    38     1   2035
0299 1994      0     0     5    91   365   453   492   239   241   162    58     8   2114
0299 1995      0     0     4    49   165   416   435   241   230    88    16     2   1645
0299 1996      0     0    11    69   230   437   467   362   162   137    15     5   1895
0299 1997      0     0     4    80   245   572   446   455   304   210    52     8   2376
0299 1998      0     0     5    72   257   480   411   294   216   192    39     4   1969
0299 1999      0     1     6    40   164   489   390   284   259    71    11     1   1716
0299 2000      0     0     3    99   449   430 -9999 -9999 -9999 -9999 -9999 -9999  -9999
0399 1930  -9999 -9999 -9999 -9999 -9999 -9999   741   505   580   227    93     2  -9999
0399 1931      0     5     2    82   269   541   619   407   548   127    35     1   2637
0399 1932      0     1    17   201   585   811   547   689   435   179    23     0   3488
0399 1933      0     1     4   164   396   531   670   692   515   148    32     0   3153
0399 1934      0     0    33    88   368   757   692   564   274   198    67     8   3050
0399 1935      0     0    23   132   483   865   889   822   317   211    33     0   3775
0399 1936      0     0     5   198   528   636   765   614   550   171    28     1   3497
0399 1937      0     0    25   199   541   743   740   440   242   157    34     3   3126
0399 1938      0     0     9    91   469   682   644   637   362   225    47     2   3167
0399 1939      0     1     1   125   530   623  1189   680   456   205    71     4   3886
0399 1940      0     4    29   118   513   607   704   712   587   134    20     2   3429
0399 1941      0     1     9    73   484   659   871   697   423   139    54     2   3410
0399 1942      0     3    30   148   357   717   754   521   598   144    27     1   3299
0399 1943      0     0    32   184   489   785   737   503   470   203    34     1   3437
0399 1944      0     1    16   129   409   866   798   621   278   143    78     5   3344
0399 1945      1     1    19   193   384   920   774   523   288   101    75     5   3283
0399 1946      0     2    22   135   380   504   727   805   655   163    59     2   3454
0399 1947      0     0     8    73   550   678  1006   682   486    84    43     2   3614
0399 1948      0     3    23   211   448   666   741   557   476   200    25     1   3351
0399 1949      0     4    48   144   412   644   576   540   520   239    39     2   3169
0399 1950      1     8    35    89   558   842   753   598   457   244    44     3   3632
0399 1951      0     1    26   151   629   672   579   489   495   241    50     0   3333
0399 1952      0     0    34   294   484   715   635   556   329   253    46     0   3346
0399 1953      0     1    11   117   488   759   753   431   474    77    94     2   3209
0399 1954      0     0     6   135   456   702   755   626   417    92    19    10   3218
0399 1955      0     1     9   176   495   769   847   557   456   219    17     2   3548
0399 1956      0     0    18    98   494   560   835   463   507   169    28     3   3175
0399 1957      0     3    38   235   476   565   832   804   653   199    38     2   3845
0399 1958      0     1    19   181   388   827   854   624   465   187    16     2   3565
0399 1959      0     1    15   180   595   634   786   752   784   143    61     3   3953
0399 1960      0     1    10   124   437   848   900   533   380   238    68     7   3544
