COOLING DEGREE DAY TOTALS BY MONTH, MISSING=-9999
STDV YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANNL
0199 1931      9     6     5    33   136   431   504   385   426   152    40    31   2159
0199 1932     38    41     8    70   165   409   535   479   282    72     1    10   2110
0199 1933     34     5    22    46   323   390   436   449   417   120     9    33   2284
0199 1934     23     2    19    62   219   434   512   485   289   122    23     3   2193
0199 1935     18     7    73    63   234   341   497   504   294   126    20     0   2177
0199 1936      9     2    48    37   259   466   504   478   383   129     7     8   2331
0199 1937     76     6    12    49   232   435   448   478   250    65     3     5   2061
0199 1938     15    21    82    53   232   346   461   496   289   114    14     3   2127
0199 1939     23    14    40    38   187   405   476   404   349   126     5     7   2073
0199 1940      0     2    17    33   136   345   399   458   244   104     8    13   1760
0199 1941     15     1     6    86   251   396   469   467   374   230    10     8   2310
0199 1942      6     0    19    61   196   399   483   404   237   101    18     5   1929
0199 1943     19     7    14    59   271   492   513   519   225    59     4     3   2184
0199 1944     13    22    28    41   245   462   451   435   321    80     9     2   2108
0199 1945     12    14   105    83   147   391   456   451   373    73    18     0   2121
0199 1946     16     8    62    92   176   326   430   384   238    86    36    12   1866
0199 1947     26     1     7    84   166   347   363   496   339   186     8     6   2027
0199 1948      2    12    45   111   210   414   481   417   243    54    15    12   2017
0199 1949     43    19    18    43   239   374   483   440   236   187     9    10   2101
0199 1950     99    23    12    26   282   376   399   375   231   127     4     3   1957
0199 1951     17     7    29    34   185   399   487   536   327   133     2    12   2169
0199 1952     41    13    17    36   223   516   543   461   233    27     5     4   2119
0199 1953     24     7    45    33   283   471   453   437   270   114     8     2   2149
0199 1954     17    14    19   119    99   407   544   564   394   115     5     2   2300
0199 1955      8     7    48    97   255   242   455   473   352    69     5     4   2017
0199 1956      6    21    20    40   256   327   444   461   220   111     5    26   1937
0199 1957     24    33    14    84   217   389   448   439   272    37    13     4   1973
0199 1958      2     0    11    56   195   379   435   423   297    66    18     1   1884
0199 1959      6     7    11    49   243   336   456   466   292   126     5     4   2002
0199 1960     10     1     2    70   124   363   490   431   279   101    12     1   1884
0199 1961      2    14    34    17   128   261   389   380   283    62    14     5   1590
0199 1962      7    27     8    36   320   350   479   466   279   113     5     1   2091
0199 1963      3     0    48    86   207   348   392   430   242   116    12     0   1883
0199 1964      5     0    20    75   203   392   400   393   288    39    17     5   1837
0199 1965     15     3    10   102   239   312   416   406   294    61    22     4   1885
0199 1966      3     3    16    57   158   280   490   378   239    57    11     3   1697
0199 1967     13     2    54   125   150   333   333   308   147    51     4    13   1534
0199 1968      6     0    15    62   156   365   418   445   227    82     5     1   1781
0199 1969      7     3     3    71   176   375   495   372   218    88     4     2   1815
0199 1970      2     1    15    91   191   301   424   435   367   101     2     9   1939
0199 1971     11     3     7    36   113   387   395   390   300   152     6    30   1832
0199 1972     24     4    25    58   148   290   382   420   348    87     3     9   1798
0199 1973      7     2    58    24   129   350   452   384   339   132    28     2   1906
0199 1974     56     5    60    41   217   249   422   387   187    43     6     6   1681
0199 1975     23    12    16    34   232   323   391   407   174    85    12     2   1711
0199 1976      4    17    41    46    85   282   401   361   213    31     0     0   1481
0199 1977      0     3    36    77   224   411   508   461   321    44    14     2   2100
0199 1978      0     0    11    62   173   381   481   443   354    64    34     5   2008
0199 1979      1     1    27    58   163   304   425   408   232    66     6     2   1694
0199 1980     16     1    15    31   181   363   548   514   381    50     5     2   2108
0199 1981      2     3    14   111   119   437   507   409   205    57    13     1   1877
0199 1982      6     6    42    32   221   327   446   408   218    83    13    17   1819
0199 1983      5     2    10    13   143   275   471   492   213    82     9     0   1715
0199 1984      4     6    15    33   150   354   400   374   221   182     5    29   1772
0199 1985      1     3    47    62   190   364   410   409   229   138    61     1   1916
0199 1986      6    12    21    47   210   411   527   405   337    88    32     3   2100
0199 1987      5     5    23    28   264   349   458   499   263    24    12    10   1941
0199 1988      3     2    19    47   134   355   432   474   286    35    19     4   1809
0199 1989     29     5    35    30   147   324   419   415   241    57    13     0   1715
0199 1990     24    22    36    31   161   371   441   484   329    81    17    11   2008
0199 1991     13     9    31    87   251   348   479   428   277    95     2     9   2027
0199 1992      8    11    19    32   127   285   448   320   249    58     5     4   1565
